Id,Ref,Label,Type,OnSell,OnBuy,Description,PublicUrl,CustomCode,IDCountry,ProductAccountancySellCode,ProductAccountancySellIntraCode,ProductAccountancySellExportCode,ProductAccountancyBuyCode,ProductAccountancyBuyIntraCode,ProductAccountancyBuyExportCode,NotePrivate,NotePublic,Weight,WeightUnits,Length,LengthUnits,Width,WidthUnits,Height,HeightUnits,Surface,SurfaceUnits,Volume,VolumeUnits,Duration,Nature,PriceBase,UnitPriceHT,UnitPriceTTC,MinPriceHT,MinPriceTTC,VATRate,DateCreation,DateModification,CostPrice,DefaultWarehouse,ManageLotSerial,Stock,StockLimit,DesiredStock,PMPValue,Supplier,SupplierRef,QtyMin,DiscountQtyMin,BuyingPrice,NbDaysToDelivery,
1,CHAM003,Arabia Explorer 100ml Edp,0,1,1,,https://esencianomada.com.ar/producto/arabia-explorer-100ml-edp/,,,,,,,,,,,,-6,,-3,,-3,,-3,,-6,100,-6,0,1,HT,15000.00000000,18150.00000000,12500.00000000,15125.00000000,21.0000,2025-05-18 22:25:43,2025-05-18 22:46:34,,molinas,0,,0,0,0.00000000,,,,,,,
2,CHAM005,Arabia Code 100ml Edp,0,1,1,,https://esencianomada.com.ar/producto/arabia-code-100ml-edp/,,,,,,,,,,,,-6,,-3,,-3,,-3,,-6,,-9,,1,HT,22000.00000000,26620.00000000,19000.00000000,22990.00000000,21.0000,2025-05-19 01:05:50,2025-05-19 01:05:50,,molinas,0,,0,0,0.00000000,,,,,,,
